gene,avg_log2FC,p_val,p_val_adj,significance
RARA,-1.0195133984793434,5.0586550532315676e-201,4.929378312982316e-200,Higher in PWoH
SPOCK2,0.7073756972676803,2.207742571505838e-200,2.127681577154527e-199,"Significant, modest FC"
CRIP1,0.5502144512532592,6.627186645181555e-199,6.317437704156765e-198,"Significant, modest FC"
ABL2,-1.1770883233987182,1.0681994288009877e-198,1.0073235473746948e-197,Higher in PWoH
CCL15,0.746515517793402,1.4342955507722289e-195,1.3381672319438774e-194,"Significant, modest FC"
ARID5B,-0.7542487722858029,1.6535064875861103e-195,1.526447568013704e-194,"Significant, modest FC"
XBP1,-0.7280569540369743,6.3173512470437124e-195,5.771163587143057e-194,"Significant, modest FC"
IL6ST,-0.3730527854461205,3.8466560304379755e-192,3.477852926488767e-191,"Significant, modest FC"
ITGAX,-1.259357398533307,1.4354591235700135e-189,1.2845894401743896e-188,Higher in PWoH
IGKC,1.0219755521276852,2.516114209325566e-188,2.2289213753318397e-187,Higher in PLWH
IL1R1,-0.5618479466941184,8.231625937722162e-187,7.219135947382336e-186,"Significant, modest FC"
TUBB4B,-0.6836163801282593,5.351567025346158e-186,4.6468557239886934e-185,"Significant, modest FC"
GSTP1,-0.5143982942348031,2.101741429696576e-184,1.8070855233763698e-183,"Significant, modest FC"
B2M,-0.334940926480523,5.274006624995291e-183,4.49058622341832e-182,"Significant, modest FC"
MSR1,-0.9325212883095495,5.786757152018125e-182,4.879794252230669e-181,"Significant, modest FC"
TWIST2,0.5858206961059924,3.278255936745894e-181,2.7381242443106183e-180,"Significant, modest FC"
CTNNB1,-0.32371071607036006,6.247976776473328e-181,5.169316634874631e-180,"Significant, modest FC"
CXCL14,-0.5920818418834437,3.447494160112979e-177,2.8256564284290494e-176,"Significant, modest FC"
SRSF2,-0.40740249133593487,2.1910861594885885e-175,1.779243112843974e-174,"Significant, modest FC"
IL4R,-0.6516089488362606,3.039719698114958e-175,2.4457194268319433e-174,"Significant, modest FC"
ACKR1,-1.3183274954709627,2.1731675465778315e-174,1.732607216680689e-173,Higher in PWoH
C5AR2,0.7481186721382302,1.413183298801899e-172,1.1165421198642031e-171,"Significant, modest FC"
PTGES3,-0.514211493198252,3.8674863955251026e-172,3.0283799722102816e-171,"Significant, modest FC"
CD163,-1.31821463848209,1.0386093120621996e-169,8.060711209544682e-169,Higher in PWoH
GPX3,-0.4207310905794239,2.270133618587397e-166,1.7464098100887256e-165,"Significant, modest FC"
IL32,-0.6206846007317699,1.4099145456249195e-164,1.0752130926200473e-163,"Significant, modest FC"
CTSD,-0.5453438531075934,6.260303429424434e-164,4.733005265176921e-163,"Significant, modest FC"
ITGB1,-0.28723668280840586,1.453304999376471e-163,1.0893576790197992e-162,"Significant, modest FC"
UBE2C,0.7802905274736833,2.217380853884729e-161,1.648002549878735e-160,"Significant, modest FC"
RPL22,-0.19709178760612822,3.051833827688064e-160,2.2491245940188503e-159,"Significant, modest FC"
COL6A3,-0.7045749016645151,5.182452513421108e-159,3.78750904522526e-158,"Significant, modest FC"
IL13RA1,-0.7321876279266584,1.623068348713446e-158,1.176389208117101e-157,"Significant, modest FC"
ARF1,-0.22329878348224064,4.7838936332580035e-157,3.4389137019403846e-156,"Significant, modest FC"
CSTB,-0.4034504342877292,1.395083521233126e-155,9.947058927816679e-155,"Significant, modest FC"
TGFBR2,-0.33959863618670694,9.966040685223887e-155,7.048562645920442e-154,"Significant, modest FC"
IL33,-0.4628777097229797,5.5950192982491294e-151,3.9254655396515893e-150,"Significant, modest FC"
LAMP2,-0.5020295309780674,4.016846695162952e-149,2.7958528187761183e-148,"Significant, modest FC"
MFAP5,-0.8792710443270397,9.044798651299227e-149,6.245896391487734e-148,"Significant, modest FC"
GPNMB,-0.3754744760002384,5.751744449538074e-148,3.9408436580038214e-147,"Significant, modest FC"
IL6,-1.1255801006987443,9.673982689919289e-148,6.576808386867609e-147,Higher in PWoH
IL17RA,-1.2391491747029932,1.090708681421745e-147,7.358088566206695e-147,Higher in PWoH
LGALS3,-0.4385875890097024,3.1793650744114976e-147,2.1284757024876973e-146,"Significant, modest FC"
HLA-DQB1/2,0.7472378476217769,5.108168179122784e-145,3.3938359796141523e-144,"Significant, modest FC"
RACK1,-0.15138602759270636,6.98737380791889e-145,4.6074637816126814e-144,"Significant, modest FC"
PDGFRA,-0.5229642284983069,5.1176479349548096e-141,3.3493859992204237e-140,"Significant, modest FC"
ABL1,-0.5327523788837323,3.757907174190333e-138,2.4412478457517938e-137,"Significant, modest FC"
FCER1G,-0.6610086505782522,5.595733898847064e-135,3.608425462712408e-134,"Significant, modest FC"
PSCA,0.76728230296394,7.402049412581848e-132,4.738392215207504e-131,"Significant, modest FC"
ITM2B,-0.1218195573024543,2.3010655045607683e-131,1.4623438025360825e-130,"Significant, modest FC"
TAGLN,0.13432610781664955,6.045486475055627e-131,3.814310531384018e-130,"Significant, modest FC"
TPM2,0.26004387029069154,1.3649963540016171e-130,8.550727160424416e-130,"Significant, modest FC"
APOE,-0.618916406778391,2.2213815604744363e-129,1.381667821656795e-128,"Significant, modest FC"
RGCC,0.591184416812971,1.3291399092423896e-128,8.208842960602646e-128,"Significant, modest FC"
COL6A1,0.5453585316497715,1.4617229725647285e-128,8.964552775799068e-128,"Significant, modest FC"
IGHG1,1.5649196897608122,4.5269868738993185e-128,2.757060755840071e-127,Higher in PLWH
BMP1,-0.7016689636528541,3.010872295111804e-126,1.8210586226296914e-125,"Significant, modest FC"
IGF2R,-0.7197652593204495,9.649677212989048e-126,5.79641569574753e-125,"Significant, modest FC"
MRC2,-0.3864916658845079,2.986120100881563e-125,1.7815151894375039e-124,"Significant, modest FC"
CDH5,-1.201244203033966,3.913287939371167e-125,2.318887515424671e-124,Higher in PWoH
BBLN,0.7403540998454443,1.4556339292847655e-124,8.567724536796909e-124,"Significant, modest FC"
LDLR,-0.5542164420024891,2.8975509258150474e-124,1.6941014412931976e-123,"Significant, modest FC"
PSAP,-0.299979016802598,7.681943371677335e-124,4.4616320112324654e-123,"Significant, modest FC"
RGS2,-0.37711556415099867,8.675422301072793e-124,5.005490367132131e-123,"Significant, modest FC"
ACVR1,-0.8395329395752003,1.641653763392941e-122,9.410002290820975e-122,"Significant, modest FC"
ITGA8,0.7381140196504998,5.507421085360268e-122,3.1363690206889317e-121,"Significant, modest FC"
IFNGR1,-0.5156768226298756,2.597369929139602e-121,1.469608663132536e-120,"Significant, modest FC"
RPL37,-0.15391057193814728,1.5646215543685866e-120,8.795981430649041e-120,"Significant, modest FC"
VWF,-0.881749252596062,1.947607131847278e-120,1.0879308628216961e-119,"Significant, modest FC"
JUN,-0.17858362763422742,3.103413982507162e-120,1.7225911788979628e-119,"Significant, modest FC"
GLUD1,-0.5826816704640798,3.875966268772056e-120,2.1378757344107505e-119,"Significant, modest FC"
COL5A2,-0.7302462785914299,1.2212184082237776e-119,6.693803400076581e-119,"Significant, modest FC"
Negative04,-1.2479125332230494,2.914621168988255e-119,1.587653891430248e-118,Higher in PWoH
IGFBP7,-0.40524682205393514,6.416478731302511e-119,3.473612251452038e-118,"Significant, modest FC"
TIGIT,0.6482510768910883,1.0821684194313148e-118,5.822464440743944e-118,"Significant, modest FC"
IFITM1,-0.34357828323978445,3.7669485277674306e-118,2.0143986944219738e-117,"Significant, modest FC"
CCR1,-0.8197109457563665,7.58346445631557e-118,4.030726259508336e-117,"Significant, modest FC"
BASP1,-0.42403408687232114,1.4087853932674822e-117,7.442799939130011e-117,"Significant, modest FC"
ITGB2,-0.6220417125021891,1.0139324594774239e-115,5.324663275219765e-115,"Significant, modest FC"
ARHGDIB,-0.3638895855905311,2.3517006483727677e-115,1.227643731323165e-114,"Significant, modest FC"
CD19,-1.2228475997979444,6.685060380477333e-114,3.46911121519445e-113,Higher in PWoH
CSF2RA,-0.7755281942026653,9.550191510448201e-114,4.926775267448866e-113,"Significant, modest FC"
RAMP3,-0.9976592652123963,1.7826988768427954e-113,9.142847456088489e-113,"Significant, modest FC"
ICAM1,-0.9096551842039573,2.6523268475915713e-113,1.352378282173144e-112,"Significant, modest FC"
CD55,-0.45324823887824195,4.457192022963955e-112,2.2595129503695884e-111,"Significant, modest FC"
EFNB2,-1.3015259028537067,1.2632052920198192e-111,6.366845063801042e-111,Higher in PWoH
RELA,-0.6034577004680823,1.5795141389304794e-110,7.915622284811602e-110,"Significant, modest FC"
ATG5,-0.8178222513240354,1.8210920690021284e-110,9.074419002925379e-110,"Significant, modest FC"
NPR3,-1.0829808513161538,2.073722941992763e-109,1.0274887119365273e-108,Higher in PWoH
HLA-DRB,-0.16936342231545076,1.3342405350837815e-108,6.573758141957732e-108,"Significant, modest FC"
FASN,-1.1962776902166117,1.7657824654034662e-108,8.651347609825921e-108,Higher in PWoH
DDR2,-0.6486419789720366,7.620215072369007e-108,3.712738121370899e-107,"Significant, modest FC"
FAU,-0.13548059638210397,2.2005218817999963e-106,1.0662197184191141e-105,"Significant, modest FC"
FFAR3,0.5066304447898657,3.8516338880704843e-106,1.8559796262845134e-105,"Significant, modest FC"
ACVRL1,-0.946814021287659,6.343245568963511e-105,3.039905116929508e-104,"Significant, modest FC"
CD164,-0.35419394490619105,6.454199345929678e-105,3.076267840424091e-104,"Significant, modest FC"
ACVR1B,-0.7890060992855654,2.8918519812959813e-104,1.3708941554576083e-103,"Significant, modest FC"
