"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.06819942880099e-198,-1.17708832339872,0.02,0.052,1.00732354737469e-197,"ABL2"
1.43429555077223e-195,0.746515517793402,0.087,0.046,1.33816723194388e-194,"CCL15"
1.65350648758611e-195,-0.754248772285803,0.052,0.098,1.5264475680137e-194,"ARID5B"
6.31735124704371e-195,-0.728056954036974,0.045,0.088,5.77116358714306e-194,"XBP1"
3.84665603043798e-192,-0.37305278544612,0.083,0.14,3.47785292648877e-191,"IL6ST"
1.43545912357001e-189,-1.25935739853331,0.02,0.051,1.28458944017439e-188,"ITGAX"
2.51611420932557e-188,1.02197555212769,0.11,0.064,2.22892137533184e-187,"IGKC"
8.23162593772216e-187,-0.561847946694118,0.036,0.075,7.21913594738234e-186,"IL1R1"
5.35156702534616e-186,-0.683616380128259,0.044,0.086,4.64685572398869e-185,"TUBB4B"
2.10174142969658e-184,-0.514398294234803,0.072,0.123,1.80708552337637e-183,"GSTP1"
5.27400662499529e-183,-0.334940926480523,0.358,0.436,4.49058622341832e-182,"B2M"
5.78675715201813e-182,-0.93252128830955,0.038,0.077,4.87979425223067e-181,"MSR1"
3.27825593674589e-181,0.585820696105992,0.121,0.074,2.73812424431062e-180,"TWIST2"
6.24797677647333e-181,-0.32371071607036,0.09,0.146,5.16931663487463e-180,"CTNNB1"
3.44749416011298e-177,-0.592081841883444,0.051,0.093,2.82565642842905e-176,"CXCL14"
2.19108615948859e-175,-0.407402491335935,0.072,0.122,1.77924311284397e-174,"SRSF2"
3.03971969811496e-175,-0.651608948836261,0.029,0.063,2.44571942683194e-174,"IL4R"
2.17316754657783e-174,-1.31832749547096,0.023,0.055,1.73260721668069e-173,"ACKR1"
1.4131832988019e-172,0.74811867213823,0.08,0.043,1.1165421198642e-171,"C5AR2"
3.8674863955251e-172,-0.514211493198252,0.062,0.109,3.02837997221028e-171,"PTGES3"
1.0386093120622e-169,-1.31821463848209,0.043,0.081,8.06071120954468e-169,"CD163"
2.2701336185874e-166,-0.420731090579424,0.157,0.223,1.74640981008873e-165,"GPX3"
1.40991454562492e-164,-0.62068460073177,0.046,0.086,1.07521309262005e-163,"IL32"
6.26030342942443e-164,-0.545343853107593,0.136,0.196,4.73300526517692e-163,"CTSD"
1.45330499937647e-163,-0.287236682808406,0.14,0.205,1.0893576790198e-162,"ITGB1"
